"","State","HarrisAvg","TrumpAvg","WeightedSampleSize","TimeDiscountedPollCount","Margin","Undecided","HarrisError","TrumpError","HarrisRawWin"
"1","US",48.9663771855182,45.4058432365033,218760.575252525,51.7185425685428,3.56053394901493,5.62777957797851,0.151073053323602,0.150770188337679,"100.00%"
"2","Pennsylvania",47.7788702081778,47.0967049905386,23551.1793290043,24.585101010101,0.682165217639209,5.12442480128361,0.460323120277497,0.460147706326467,"77.07%"
"3","Arizona",46.7878859948821,47.8067952774347,11979.2116161616,16.493759018759,-1.0189092825526,5.40531872768315,0.645007009194938,0.645198312702866,"21.48%"
"4","California",59.316473502523,34.8737012530299,4267.88253968254,3.17896825396825,24.4427722494931,5.80982524444712,1.0702014423643,1.0561278844734,"100.00%"
"5","Missouri",42.4454954389119,54.4005421079445,1046.4,1.71111111111111,-11.9550466690326,3.15396245314361,2.17297977198946,2.1806631441793,"0.30%"
"6","Michigan",47.8935834501346,46.6564698997121,13024.0424603175,17.5992784992785,1.23711355042254,5.44994665015324,0.618917901646817,0.618395715656282,"84.13%"
"7","Wisconsin",48.2100791497335,46.6898880501233,12376.3873015873,16.4584054834055,1.52019109961016,5.10003280014324,0.635206008184187,0.634318002892589,"88.44%"
"8","Georgia",46.9793066014732,47.9311822626494,13142.3430735931,14.0548701298701,-0.951875661176253,5.08951113587737,0.615954954793737,0.616363448694177,"21.99%"
"9","Nevada",47.2134173380641,47.0822699868614,7726.78506493507,11.0667388167388,0.131147351202699,5.70431267507445,0.803175248283371,0.80309137437143,"53.25%"
"10","North Carolina",47.2937317766621,47.9495939687605,12394.2164862915,15.5580086580086,-0.655862192098397,4.75667425457748,0.634385597561377,0.634601406353364,"30.26%"
"11","Minnesota",49.8743833096676,43.7291533681009,2125.32496392496,3.60440115440115,6.14522994156672,6.39646332223148,1.53325884218747,1.52644506394629,"97.77%"
"12","Montana",38.978487836528,55.7982676282448,1284.24206349206,1.96507936507937,-16.8197797917167,5.22324453522718,1.94850934683914,1.96597090704467,"0.00%"
"13","Nebraska",38.2983034911359,56.2520751611182,2451.42857142857,3.61904761904762,-17.9537716699823,5.44962134774597,1.40815189688704,1.42293766931328,"0.00%"
"14","Florida",45.209384888948,49.8158195221657,7857.58243145743,6.86670274170274,-4.60643463321777,4.97479558888632,0.795314564317838,0.797332973350998,"0.19%"
"15","Texas",44.7534034485545,50.9173248802599,5184.89325396825,5.14246031746032,-6.16392143170538,4.32927167118558,0.978836656479848,0.981422100642342,"0.08%"
"16","Ohio",44.5152909405138,52.0900580119173,4490.21428571429,4.51785714285714,-7.57476707140346,3.39465104756886,1.05158989284704,1.05427000363271,"0.02%"
"17","Massachusetts",61.0213848854548,31.7917162586193,591,1,29.2296686268355,7.18689885592596,2.87213793845309,2.80621778833365,"100.00%"
"18","Illinois",58.4516685226452,41.5483314773548,400,0.642857142857143,16.9033370452904,7.105427357601e-15,3.51082898125619,3.51082898125619,"99.20%"
"19","Virginia",50.2196079148492,42.3126839588713,2009.85277777778,2.60277777777778,7.90692395597797,7.46770812627947,1.57602451844971,1.56619149219438,"99.41%"
"20","New Hampshire",51.1384682306726,43.2781024635079,2447.28333333333,1.26944444444444,7.86036576716468,5.58342930581954,1.4287846615562,1.42233092989653,"99.71%"
"21","New Jersey",56,44,400,0.5,12,0,3.52273666997561,3.52273666997561,"95.57%"
"22","North Dakota",35.5959179422654,54.9545923149514,416.666666666667,0.833333333333333,-19.358674372686,9.44948974278318,3.38769673992982,3.44992748635849,"0.23%"
"23","New York",55.0229989698623,40.0216968904938,943.083333333333,1.29924242424242,15.0013020793685,4.95530413964399,2.29247667879067,2.27815352587933,"99.95%"
"24","Indiana",41.1098179268136,55.7495547931185,700,1.2,-14.6397368663049,3.14062728006792,2.65091565516505,2.66316733168026,"0.29%"
"25","Alaska",42.651275252402,50.3437762095183,701.942857142857,0.676190476190476,-7.69250095711632,7.00494853807967,2.65450500333626,2.66695168328283,"7.41%"
"26","South Carolina",42,51.6,400,0.333333333333333,-9.6,6.4,3.51268596365418,3.53462846148794,"8.66%"
"27","Iowa",43.8840080499876,49.3757716343417,400,0.533333333333333,-5.49176358435409,6.74022031567068,3.52163172188893,3.53364217198073,"21.82%"
"28","Utah",33.6088985859743,52.8447639827088,400,0.433333333333333,-19.2358653967345,13.5463374313169,3.39257026055192,3.53252286222801,"0.27%"
"29","Maryland",61.0725204731724,33.0034029650287,1382.05952380952,1.80119047619048,28.0691175081436,5.92407656179889,1.87661352236763,1.84317172586841,"100.00%"
"30","Nebraska CD-2",50.2919851243361,42,670.206349206349,1.03174603174603,8.29198512433614,7.70801487566386,2.72983991427911,2.71372010430669,"93.62%"
"31","Delaware",54.7467641673959,36.4865996349154,400,0.5,18.2601645324805,8.76663619768879,3.52712973802576,3.46862997188198,"99.55%"
"32","Rhode Island",54.2030356389231,38.6733080861819,589.75,0.75,15.5297275527412,7.12365627489493,2.90420512977478,2.87330399713063,"99.64%"
"33","New Mexico",48.5467060514696,40.6749443528682,650.840800865801,1.11987734487734,7.87176169860139,10.7783495956623,2.76944519182091,2.74486474244302,"92.33%"
"34","Connecticut",53,37,400,0.25,16,10,3.5323476207004,3.47420605384501,"98.88%"
"35","Colorado",53.3530724437646,41.5812445632923,400,0.616666666666667,11.7718278804723,5.06568299294305,3.53101079060665,3.5093209665874,"95.27%"
"36","Maine",52.3054007699611,39.6167595380233,400,0.325,12.6886412319378,8.07783969201557,3.53110060489876,3.4950317399753,"96.45%"
"37","Maine CD-1",59.8351489854746,32.4587872463686,400,0.325,27.3763617391059,7.70606376815677,3.49811547685069,3.42178474887005,"100.00%"
"38","Maine CD-2",45.1615347482877,46.7417608940802,400,0.325,-1.58022614579259,8.09670435763211,3.52395108005227,3.52896396949167,"41.14%"
"39","Arkansas",40,55,400,0.166666666666667,-15,5,3.49963551158058,3.5266617308487,"1.64%"
"40","Washington",53,32,400,0.166666666666667,21,15,3.5323476207004,3.41495297034829,"99.87%"
"41","Oklahoma",39.9,56,400,0.142857142857143,-16.1,4.1,3.4989025451579,3.52273666997561,"1.09%"
"42","Tennessee",36.9,63.1,400,0.142857142857143,-26.2,0,3.47323313582017,3.47323313582017,"0.01%"
"43","West Virginia",34,61,400,0.142857142857143,-27,4.99999999999999,3.44132522181892,3.49195481045463,"0.00%"
"44","Vermont",67,27,400,0.125,40,6,3.42860291452783,3.33151413627671,"100.00%"
