"","State","HarrisAvg","TrumpAvg","WeightedSampleSize","TimeDiscountedPollCount","Margin","Undecided","HarrisError","TrumpError","HarrisRawWin"
"1","US",48.9679359814648,45.9222772368114,321921.423182373,78.7018342768343,3.04565874465342,5.10978678172387,0.12454593278273,0.124338829571021,"100.00%"
"2","North Carolina",47.1886520994528,48.1901395847531,22717.023010323,23.4347236097236,-1.00148748530025,4.62120831579413,0.46860634485346,0.468799572403484,"14.27%"
"3","Arizona",46.5966684877334,48.1427858621351,18905.111022311,21.1151570651571,-1.54611737440167,5.26054565013149,0.513439245176527,0.513697363007103,"6.61%"
"4","Georgia",47.0454230210024,48.5312180393002,21679.0705877456,20.5876484626485,-1.4857950182978,4.42335893969742,0.479652430946567,0.479979837285991,"6.08%"
"5","Michigan",48.1209956642114,46.7948024617943,24738.3868464868,29.1335331335331,1.32619320241714,5.08420187399432,0.449159292962541,0.448801123770706,"93.01%"
"6","Nevada",47.3380568992854,47.3086373448064,11869.0976578977,15.7939005439005,0.0294195544789773,5.35330575590818,0.648183995761515,0.648148499068261,"50.91%"
"7","Pennsylvania",47.6990239585517,47.5292380256031,33805.6113775114,30.3535076035076,0.169785932948535,4.77173801584521,0.384240034590427,0.384150594217426,"58.74%"
"8","Wisconsin",48.3253729002806,47.0869975760959,19470.1372766123,24.843031968032,1.23837532418472,4.58762952362355,0.506472538592169,0.505934580908421,"88.94%"
"9","Colorado",54.9458181801583,41.7850978887764,1406.82142857143,2.91071428571429,13.160720291382,3.26908393106528,1.87996834766624,1.87188783074154,"99.98%"
"10","Utah",34.663132169124,56.8446795425079,1825.31666666667,3.03333333333333,-22.181547373384,8.49218828836809,1.6065994548521,1.64616051737544,"0.00%"
"11","Maryland",62.0271378057133,33.7387910843522,2483.37561327561,3.78892496392496,28.2883467213612,4.23407110993451,1.39760253852454,1.37778773318187,"100.00%"
"12","Massachusetts",61.7435557944581,33.6915083972606,2028.19047619048,3.11904761904762,28.0520473971976,4.56493580828131,1.54587438057504,1.5204589255162,"100.00%"
"13","New Hampshire",51.7919742244221,44.0621249280467,7139.67824675325,5.46352813852814,7.72984929637541,4.14590084753117,0.836183282542855,0.832793590969994,"100.00%"
"14","South Carolina",41.8562007145589,55.2758522747593,2357.93333333333,3.03333333333333,-13.4196515602004,2.86794701068175,1.44634334064847,1.45069350932045,"0.00%"
"15","Washington",57.2604790472352,37.3797588557477,1142.04166666667,2.45833333333333,19.8807201914875,5.35976209701713,2.08130958152183,2.05060822116945,"100.00%"
"16","Oklahoma",32.9051745638075,64.9578344387013,886.888888888889,2.11111111111111,-32.0526598748939,2.13699099749121,2.30679119784204,2.32498901172819,"0.00%"
"17","Texas",44.9225206036081,51.1535907658762,14167.8119047619,9.43419913419913,-6.23107016226813,3.92388863051566,0.592190877074474,0.593694439328707,"0.00%"
"18","Florida",44.9673812778477,50.7601018927417,16880.0812937063,12.8526917526918,-5.79272061489397,4.2725168294106,0.54263497838558,0.543953899159898,"0.00%"
"19","Ohio",44.6201845619614,52.047449747033,7713.88744588745,6.29051226551227,-7.42726518507154,3.33236569100557,0.802471224015957,0.804461656832586,"0.00%"
"20","Minnesota",50.1749426424283,43.5654828873867,4186.58937728938,4.61382783882784,6.60945975504164,6.25957447018503,1.09242897770291,1.08771456869049,"99.88%"
"21","Nebraska",39.1387235092917,55.0348543410123,3663.55,3.76666666666667,-15.8961308317206,5.82642214969606,1.15320915305476,1.16456631711672,"0.00%"
"22","Nebraska CD-1",43,51,408,1,-8,6,3.48341924011994,3.50035008752626,"12.60%"
"23","Nebraska CD-2",51.2991857798955,42.2030287087731,1281.2303030303,2.61515151515151,9.09615707112247,6.49778551133141,1.97431601087584,1.96302146907845,"98.96%"
"24","Nebraska CD-3",25,70,404,1,-45,5,3.27385646989158,3.36793841183747,"0.00%"
"25","Tennessee",37.0212316631161,60.3554065258876,816.083333333333,1.68333333333333,-23.3341748627715,2.62336181099639,2.43154108977823,2.44374209192022,"0.00%"
"26","Illinois",58.40565091041,41.59434908959,540,1.35,16.81130182082,0,3.02149409986517,3.02149409986517,"99.73%"
"27","Indiana",41.4820028669018,56.3893186420857,789.52380952381,1.62063492063492,-14.9073157751839,2.12867849101245,2.49717776303799,2.5064069913287,"0.14%"
"28","Virginia",50.6527683874428,43.5235474699331,4478.27976190476,4.5508658008658,7.12922091750968,5.82368414262408,1.05587705595662,1.05045553824298,"99.96%"
"29","New Jersey",53.8814233721097,40.4551125782302,1005.5,2.2,13.4263107938796,5.66346404966013,2.22502099132036,2.20701011522675,"99.88%"
"30","New York",56.1503417460594,39.2600989451752,2165.62554112554,3.33852813852814,16.8902428008842,4.58955930876541,1.51224910576707,1.50165385537904,"100.00%"
"31","California",60.028132421061,34.9360877267931,3733.84895382395,3.51987734487735,25.0920446942678,5.03577985214588,1.14343368517128,1.12951056700725,"100.00%"
"32","Missouri",42.2633052454596,55.1201535705785,960.586038961039,1.75162337662338,-12.856848325119,2.61654118396191,2.26776071102315,2.2744459663701,"0.23%"
"33","Montana",38.4416213555624,55.9969939427046,1847.56593406593,2.23644688644689,-17.5553725871422,5.56138470173305,1.62222648932413,1.63897485992952,"0.00%"
"34","Alaska",42.8544683109324,50.5202207969867,1602.59444444444,1.18611111111111,-7.66575248605428,6.62531089208093,1.75712716837503,1.76552211704533,"1.48%"
"35","South Dakota",35.1398329132927,60.834142497108,579.166666666667,0.833333333333333,-25.6943095838153,4.02602458959931,2.86629063008977,2.90455323387529,"0.00%"
"36","Maine CD-2",42.3309044760453,48.5382932875628,400,0.983766233766234,-6.20738881151743,9.13080223639192,3.51353610236457,3.53216198474429,"18.92%"
"37","New Mexico",48.9291683143524,41.2501594496461,1081.08725441225,1.59521312021312,7.67900886470631,9.82067223600151,2.14918528447045,2.13182161846491,"96.36%"
"38","Oregon",53,41,400,0.333333333333333,12,6,3.5323476207004,3.50654140533916,"95.59%"
"39","Kansas",43.2,48.2,400,0.333333333333333,-5,8.59999999999999,3.51907096608326,3.53438783580665,"23.92%"
"40","Maine",50.6772663735935,40.1379114014275,400,0.483766233766234,10.5393549721659,9.184822224979,3.53210697085227,3.49887250192723,"93.31%"
"41","Maine CD-1",58.3876838942336,32.665226801029,400,0.483766233766234,25.7224570932046,8.9470893047374,3.50634175101608,3.42405897927728,"99.99%"
"42","North Dakota",35.8178046004133,54.704969824535,400,0.366666666666667,-18.8871652241218,9.47722557505168,3.45755350671588,3.52106749632536,"0.34%"
"43","Iowa",43.8759252993222,49.3540492419284,400,0.325,-5.47812394260619,6.77002545874943,3.52163172188893,3.53364217198073,"21.87%"
"44","Delaware",54.7161641738766,36.5076371304598,400,0.30952380952381,18.2085270434168,8.77619869566358,3.52712973802576,3.46862997188198,"99.54%"
"45","Rhode Island",53.9198428333566,36.3829742777287,420.357142857143,0.577380952380952,17.5368685556278,9.69718288891465,3.44140132055801,3.36562815775102,"99.50%"
"46","Connecticut",53,37,400,0.142857142857143,16,10,3.5323476207004,3.47420605384501,"98.88%"
"47","Arkansas",40,55,400,0.125,-15,4.99999999999999,3.49963551158058,3.5266617308487,"1.64%"
"48","West Virginia",34,61,400,0.1,-27,5,3.44132522181892,3.49195481045463,"0.00%"
"49","Vermont",67,27,400,0.0909090909090909,40,6,3.42860291452783,3.33151413627671,"100.00%"
